,human_count,human_weight,human_panic,human_speed,Run,Total_steps
127,47,1.314453125,5.3798828125,1.298828125,127,22
128,47,1.314453125,2.0712890625,2.853515625,128,22
129,47,1.314453125,2.0712890625,1.298828125,129,25
130,42,2.693359375,1.8798828125,1.853515625,130,20
131,12,2.693359375,1.8798828125,1.853515625,131,11
132,42,2.314453125,1.8798828125,1.853515625,132,18
133,42,2.693359375,5.5712890625,1.853515625,133,23
134,42,2.693359375,1.8798828125,2.298828125,134,16
135,42,2.314453125,5.5712890625,2.298828125,135,17
136,12,2.693359375,5.5712890625,2.298828125,136,12
137,12,2.314453125,1.8798828125,2.298828125,137,12
138,12,2.314453125,5.5712890625,1.853515625,138,10
139,12,2.314453125,5.5712890625,2.298828125,139,13
140,34,1.943359375,1.0048828125,1.603515625,140,18
141,20,1.943359375,1.0048828125,1.603515625,141,13
142,34,2.564453125,1.0048828125,1.603515625,142,15
143,34,1.943359375,2.9462890625,1.603515625,143,18
144,34,1.943359375,1.0048828125,1.048828125,144,16
145,34,2.564453125,2.9462890625,1.048828125,145,18
146,20,1.943359375,2.9462890625,1.048828125,146,13
147,20,2.564453125,1.0048828125,1.048828125,147,13
148,20,2.564453125,2.9462890625,1.603515625,148,13
149,20,2.564453125,2.9462890625,1.048828125,149,12
150,69,2.943359375,4.5048828125,2.603515625,150,26
151,55,2.943359375,4.5048828125,2.603515625,151,23
152,69,1.564453125,4.5048828125,2.603515625,152,30
153,69,2.943359375,6.4462890625,2.603515625,153,30
154,69,2.943359375,4.5048828125,2.048828125,154,30
155,69,1.564453125,6.4462890625,2.048828125,155,27
156,55,2.943359375,6.4462890625,2.048828125,156,24
157,55,1.564453125,4.5048828125,2.048828125,157,24
158,55,1.564453125,6.4462890625,2.603515625,158,23
159,55,1.564453125,6.4462890625,2.048828125,159,26
160,51,1.443359375,2.7548828125,1.103515625,160,21
161,73,1.443359375,2.7548828125,1.103515625,161,34
162,51,1.064453125,2.7548828125,1.103515625,162,37
163,51,1.443359375,1.1962890625,1.103515625,163,22
164,51,1.443359375,2.7548828125,2.548828125,164,23
165,51,1.064453125,1.1962890625,2.548828125,165,36
166,73,1.443359375,1.1962890625,2.548828125,166,31
167,73,1.064453125,2.7548828125,2.548828125,167,49
168,73,1.064453125,1.1962890625,1.103515625,168,53
169,73,1.064453125,1.1962890625,2.548828125,169,51
170,16,2.443359375,6.2548828125,2.103515625,170,12
171,38,2.443359375,6.2548828125,2.103515625,171,17
172,16,2.064453125,6.2548828125,2.103515625,172,10
173,16,2.443359375,4.6962890625,2.103515625,173,13
174,16,2.443359375,6.2548828125,1.548828125,174,11
175,16,2.064453125,4.6962890625,1.548828125,175,11
176,38,2.443359375,4.6962890625,1.548828125,176,18
177,38,2.064453125,6.2548828125,1.548828125,177,20
178,38,2.064453125,4.6962890625,2.103515625,178,19
179,38,2.064453125,4.6962890625,1.548828125,179,19
180,14,1.380859375,0.3486328125,1.916015625,180,13
181,53,1.380859375,0.3486328125,1.916015625,181,24
182,14,1.501953125,0.3486328125,1.916015625,182,13
183,14,1.380859375,6.6650390625,1.916015625,183,11
184,14,1.380859375,0.3486328125,2.611328125,184,10
185,14,1.501953125,6.6650390625,2.611328125,185,11
186,53,1.380859375,6.6650390625,2.611328125,186,23
187,53,1.501953125,0.3486328125,2.611328125,187,23
188,53,1.501953125,6.6650390625,1.916015625,188,21
189,53,1.501953125,6.6650390625,2.611328125,189,21
190,49,2.380859375,3.8486328125,2.916015625,190,21
191,18,2.380859375,3.8486328125,2.916015625,191,12
192,49,2.501953125,3.8486328125,2.916015625,192,23
193,49,2.380859375,3.1650390625,2.916015625,193,20
194,49,2.380859375,3.8486328125,1.611328125,194,19
195,49,2.501953125,3.1650390625,1.611328125,195,22
196,18,2.380859375,3.1650390625,1.611328125,196,14
197,18,2.501953125,3.8486328125,1.611328125,197,10
198,18,2.501953125,3.1650390625,2.916015625,198,14
199,18,2.501953125,3.1650390625,1.611328125,199,12
200,25,1.193359375,3.6298828125,2.353515625,200,14
201,29,1.193359375,3.6298828125,2.353515625,201,16
202,25,2.814453125,3.6298828125,2.353515625,202,14
203,25,1.193359375,0.3212890625,2.353515625,203,15
204,25,1.193359375,3.6298828125,2.798828125,204,15
205,25,2.814453125,0.3212890625,2.798828125,205,13
206,29,1.193359375,0.3212890625,2.798828125,206,16
207,29,2.814453125,3.6298828125,2.798828125,207,15
208,29,2.814453125,0.3212890625,2.353515625,208,15
209,29,2.814453125,0.3212890625,2.798828125,209,18
210,60,2.193359375,0.1298828125,1.353515625,210,25
211,64,2.193359375,0.1298828125,1.353515625,211,29
212,60,1.814453125,0.1298828125,1.353515625,212,26
213,60,2.193359375,3.8212890625,1.353515625,213,23
214,60,2.193359375,0.1298828125,1.798828125,214,25
215,60,1.814453125,3.8212890625,1.798828125,215,24
216,64,2.193359375,3.8212890625,1.798828125,216,31
217,64,1.814453125,0.1298828125,1.798828125,217,25
218,64,1.814453125,3.8212890625,1.353515625,218,27
219,64,1.814453125,3.8212890625,1.798828125,219,24
220,77,1.693359375,5.3798828125,2.853515625,220,31
221,47,1.693359375,5.3798828125,2.853515625,221,21
222,77,1.314453125,5.3798828125,2.853515625,222,32
223,77,1.693359375,2.0712890625,2.853515625,223,31
224,77,1.693359375,5.3798828125,1.298828125,224,33
225,77,1.314453125,2.0712890625,1.298828125,225,33
226,47,1.693359375,2.0712890625,1.298828125,226,22
227,47,1.314453125,5.3798828125,1.298828125,227,21
228,47,1.314453125,2.0712890625,2.853515625,228,23
229,47,1.314453125,2.0712890625,1.298828125,229,24
230,42,2.693359375,1.8798828125,1.853515625,230,22
231,12,2.693359375,1.8798828125,1.853515625,231,11
232,42,2.314453125,1.8798828125,1.853515625,232,21
233,42,2.693359375,5.5712890625,1.853515625,233,21
234,42,2.693359375,1.8798828125,2.298828125,234,19
235,42,2.314453125,5.5712890625,2.298828125,235,18
236,12,2.693359375,5.5712890625,2.298828125,236,11
237,12,2.314453125,1.8798828125,2.298828125,237,10
238,12,2.314453125,5.5712890625,1.853515625,238,10
239,12,2.314453125,5.5712890625,2.298828125,239,11
240,34,1.943359375,1.0048828125,1.603515625,240,16
241,20,1.943359375,1.0048828125,1.603515625,241,14
242,34,2.564453125,1.0048828125,1.603515625,242,17
243,34,1.943359375,2.9462890625,1.603515625,243,14
244,34,1.943359375,1.0048828125,1.048828125,244,15
245,34,2.564453125,2.9462890625,1.048828125,245,16
246,20,1.943359375,2.9462890625,1.048828125,246,12
247,20,2.564453125,1.0048828125,1.048828125,247,11
248,20,2.564453125,2.9462890625,1.603515625,248,13
249,20,2.564453125,2.9462890625,1.048828125,249,13
250,69,2.943359375,4.5048828125,2.603515625,250,36
251,55,2.943359375,4.5048828125,2.603515625,251,25
252,69,1.564453125,4.5048828125,2.603515625,252,27
253,69,2.943359375,6.4462890625,2.603515625,253,26
254,69,2.943359375,4.5048828125,2.048828125,254,29
255,69,1.564453125,6.4462890625,2.048828125,255,29
256,55,2.943359375,6.4462890625,2.048828125,256,24
257,55,1.564453125,4.5048828125,2.048828125,257,21
258,55,1.564453125,6.4462890625,2.603515625,258,23
259,55,1.564453125,6.4462890625,2.048828125,259,26
260,51,1.443359375,2.7548828125,1.103515625,260,21
261,73,1.443359375,2.7548828125,1.103515625,261,31
262,51,1.064453125,2.7548828125,1.103515625,262,43
263,51,1.443359375,1.1962890625,1.103515625,263,23
264,51,1.443359375,2.7548828125,2.548828125,264,21
265,51,1.064453125,1.1962890625,2.548828125,265,39
266,73,1.443359375,1.1962890625,2.548828125,266,30
267,73,1.064453125,2.7548828125,2.548828125,267,49
268,73,1.064453125,1.1962890625,1.103515625,268,56
269,73,1.064453125,1.1962890625,2.548828125,269,51
270,16,2.443359375,6.2548828125,2.103515625,270,11
271,38,2.443359375,6.2548828125,2.103515625,271,16
272,16,2.064453125,6.2548828125,2.103515625,272,12
273,16,2.443359375,4.6962890625,2.103515625,273,12
274,16,2.443359375,6.2548828125,1.548828125,274,13
275,16,2.064453125,4.6962890625,1.548828125,275,13
276,38,2.443359375,4.6962890625,1.548828125,276,18
